City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
186,Te Anau,NZ,2022-02-02 18:56:54,-45.4167,167.7167,58.37,96,100,3.91
187,Farafenni,GM,2022-02-02 18:56:55,13.5667,-15.6,92.8,8,36,7.38
188,Ambon,ID,2022-02-02 18:56:55,-3.6954,128.1814,80.06,80,100,8.32
189,Castro,BR,2022-02-02 18:56:55,-24.7911,-50.0119,76.05,69,42,2.08
190,Spokane,US,2022-02-02 18:53:24,47.6166,-117.3677,23.04,58,100,1.01
191,Kahramanmaras,TR,2022-02-02 18:56:56,38.0,37.0,32.63,98,100,8.12
192,Eyl,SO,2022-02-02 18:56:56,7.9803,49.8164,75.27,75,6,18.05
193,Nauta,PE,2022-02-02 18:56:56,-4.5061,-73.5757,94.5,38,100,2.59
194,Dudinka,RU,2022-02-02 18:56:57,69.4058,86.1778,1.62,100,93,5.17
195,Half Moon Bay,US,2022-02-02 18:56:57,37.4636,-122.4286,61.34,32,0,5.99
196,Mastic Beach,US,2022-02-02 18:56:57,40.7668,-72.8521,46.31,88,100,1.01
197,San Vicente,AR,2022-02-02 18:56:58,-26.6167,-54.1333,97.68,19,39,2.13
198,Srednekolymsk,RU,2022-02-02 18:53:30,67.45,153.6833,-22.88,98,100,2.77
199,Chokurdakh,RU,2022-02-02 18:56:02,70.6333,147.9167,-18.76,98,100,7.61
200,Diamantina,BR,2022-02-02 18:56:58,-18.2494,-43.6003,70.29,83,100,3.02
201,Lasa,IT,2022-02-02 18:56:58,46.6166,10.7002,41.36,95,100,7.76
202,Isakly,RU,2022-02-02 18:56:59,54.1333,51.5333,30.97,97,100,16.08
203,Vung Tau,VN,2022-02-02 18:55:35,10.346,107.0843,78.04,83,37,19.93
204,Mocuba,MZ,2022-02-02 18:56:59,-16.8392,36.9856,73.09,92,37,3.71
205,San Cristobal,VE,2022-02-02 18:56:59,7.7669,-72.225,84.38,26,1,8.41
206,Moose Factory,CA,2022-02-02 18:57:00,51.2585,-80.6094,-0.4,55,0,12.66
207,Miandrivazo,MG,2022-02-02 18:57:00,-19.5167,45.4667,82.0,71,47,3.47
208,Port Macquarie,AU,2022-02-02 18:57:00,-31.4333,152.9167,71.49,100,75,5.75
209,Port Hardy,CA,2022-02-02 18:57:00,50.6996,-127.4199,42.76,93,100,11.5
